"","Date","Name","Hours"
"1",2016-05-11,"AJ",3.36
"2",2016-05-11,"HP",25.5
"3",2016-05-25,"HP",75.17
"4",2016-06-08,"HP",66.38
"5",2016-06-22,"AJ",5.05
"6",2016-06-22,"HP",82.68
"7",2016-07-06,"HP",76.97
"8",2016-07-20,"HP",67.75
"9",2016-08-03,"AJ",3.33
"10",2016-08-03,"HP",80.47
"11",2016-08-17,"HP",79.43
"12",2016-08-31,"AJ",4.91
"13",2016-08-31,"HP",78.94
"14",2016-09-14,"AJ",1.83
"15",2016-09-14,"HP",77.47
"16",2016-09-28,"AJ",9.08
"17",2016-09-28,"HP",84
"18",2016-10-12,"AJ",7.1
"19",2016-10-12,"HP",91.75
"20",2016-10-26,"AJ",5.25
"21",2016-10-26,"HP",79.6
"22",2016-11-09,"AJ",3.8
"23",2016-11-09,"HP",23.03
"24",2016-11-23,"AJ",3.96
"25",2016-11-23,"HP",86.17
"26",2016-12-07,"AJ",5.67
"27",2016-12-07,"HP",80.85
"28",2016-12-21,"HP",81.5
"29",2017-01-04,"AJ",5.42
"30",2017-01-04,"HP",65.5
"31",2017-01-18,"AJ",3.92
"32",2017-01-18,"HP",76.48
"33",2017-02-01,"AJ",7.64
"34",2017-02-01,"HP",82.33
"35",2017-02-15,"AJ",8.4
"36",2017-02-15,"HP",79.42
"37",2017-03-01,"AJ",3.5
"38",2017-03-01,"HP",72.75
"39",2017-03-15,"AJ",7.45
"40",2017-03-15,"HP",76.5
"41",2017-03-29,"AJ",7.85
"42",2017-03-29,"HP",84
"43",2017-04-12,"AJ",1.72
"44",2017-04-12,"HP",69.75
"45",2017-04-26,"AJ",11.66
"46",2017-04-26,"HP",80.98
"47",2017-05-10,"AJ",6.09
"48",2017-05-10,"HP",56.75
"49",2017-05-10,"SO",2.83
"50",2017-05-24,"AJ",5.27
"51",2017-05-24,"HP",80.4
"52",2017-05-24,"SO",4
"53",2017-06-07,"AJ",0.5
"54",2017-06-07,"HP",78.5
"55",2017-06-07,"SO",6.58
"56",2017-06-21,"AJ",6.59
"57",2017-06-21,"AM",6
"58",2017-06-21,"HP",85
"59",2017-06-21,"LA",2
"60",2017-06-21,"SO",9.13
"61",2017-07-05,"AJ",7.41
"62",2017-07-05,"AM",63.47
"63",2017-07-05,"HP",87.92
"64",2017-07-05,"LA",4.33
"65",2017-07-05,"SO",25.87
"66",2017-07-19,"AJ",5.13
"67",2017-07-19,"AM",59.08
"68",2017-07-19,"HP",83.17
"69",2017-07-19,"LA",5
"70",2017-07-19,"SO",15.58
"71",2017-08-02,"AJ",9.47
"72",2017-08-02,"AM",52.13
"73",2017-08-02,"HP",86.67
"74",2017-08-02,"SO",13.08
"75",2017-08-16,"AJ",6.25
"76",2017-08-16,"AM",75.25
"77",2017-08-16,"HP",49.5
"78",2017-08-16,"LA",4.5
"79",2017-08-16,"SO",50
"80",2017-08-30,"AM",72.25
"81",2017-08-30,"HP",97.75
"82",2017-08-30,"LA",4.75
"83",2017-08-30,"SO",77
"84",2017-09-13,"AJ",11.16
"85",2017-09-13,"AM",78.92
"86",2017-09-13,"HP",82.5
"87",2017-09-13,"LA",3.33
"88",2017-09-13,"SO",69.75
"89",2017-09-27,"AJ",5.42
"90",2017-09-27,"AM",72.08
"91",2017-09-27,"DM",60.75
"92",2017-09-27,"HP",84.5
"93",2017-09-27,"SO",81.5
"94",2017-10-11,"AJ",8.67
"95",2017-10-11,"AM",68.25
"96",2017-10-11,"DM",64.83
"97",2017-10-11,"HP",77.75
"98",2017-10-11,"LA",3.5
"99",2017-10-11,"SO",82.32
"100",2017-10-25,"AJ",4
"101",2017-10-25,"AM",60.75
"102",2017-10-25,"DM",79.91
"103",2017-10-25,"HP",17.75
"104",2017-10-25,"LA",3.5
"105",2017-10-25,"SO",82.37
"106",2017-11-08,"AJ",3
"107",2017-11-08,"AM",67.75
"108",2017-11-08,"DM",44.33
"109",2017-11-08,"HP",32.92
"110",2017-11-08,"LA",4.92
"111",2017-11-08,"SO",81
